ds,y
1/1/2021 0:00,0.002436
1/1/2021 0:15,0.002628
1/1/2021 0:30,0.002696
1/1/2021 0:45,0.002448
1/1/2021 1:00,0.002416
1/1/2021 1:15,0.00256
1/1/2021 1:30,0.002528
1/1/2021 1:45,0.0025
1/1/2021 2:00,0.002848
1/1/2021 2:15,0.002872
1/1/2021 2:30,0.002716
1/1/2021 2:45,0.002664
1/1/2021 3:00,0.00256
1/1/2021 3:15,0.002404
1/1/2021 3:30,0.002412
1/1/2021 3:45,0.002548
1/1/2021 4:00,0.0026
1/1/2021 4:15,0.002528
1/1/2021 4:30,0.002692
1/1/2021 4:45,0.002852
1/1/2021 5:00,0.002604
1/1/2021 5:15,0.00268
1/1/2021 5:30,0.002552
1/1/2021 5:45,0.002404
1/1/2021 6:00,0.002552
1/1/2021 6:15,0.00266
1/1/2021 6:30,0.0026
1/1/2021 6:45,0.024104
1/1/2021 7:00,0.168656
1/1/2021 7:15,0.34428
1/1/2021 7:30,0.568188
1/1/2021 7:45,0.780276
1/1/2021 8:00,1.51734
1/1/2021 8:15,3.23656
1/1/2021 8:30,4.842732
1/1/2021 8:45,5.21216
1/1/2021 9:00,5.930656
1/1/2021 9:15,7.177068
1/1/2021 9:30,7.785984
1/1/2021 9:45,8.272992
1/1/2021 10:00,8.78632
1/1/2021 10:15,9.323112
1/1/2021 10:30,9.623424
1/1/2021 10:45,9.827988
1/1/2021 11:00,10.192584
1/1/2021 11:15,10.56726
1/1/2021 11:30,10.74364
1/1/2021 11:45,10.757636
1/1/2021 12:00,10.63076
1/1/2021 12:15,10.339184
1/1/2021 12:30,8.881184
1/1/2021 12:45,9.46998
1/1/2021 13:00,10.986164
1/1/2021 13:15,10.459876
1/1/2021 13:30,10.255628
1/1/2021 13:45,9.732112
1/1/2021 14:00,9.258936
1/1/2021 14:15,8.811432
1/1/2021 14:30,8.408148
1/1/2021 14:45,7.838992
1/1/2021 15:00,7.185296
1/1/2021 15:15,6.39894
1/1/2021 15:30,5.819588
1/1/2021 15:45,5.298444
1/1/2021 16:00,4.211684
1/1/2021 16:15,2.821204
1/1/2021 16:30,1.404128
1/1/2021 16:45,0.726568
1/1/2021 17:00,0.544456
1/1/2021 17:15,0.368052
1/1/2021 17:30,0.212276
1/1/2021 17:45,0.047356
1/1/2021 18:00,0.000176
1/1/2021 18:15,0.002624
1/1/2021 18:30,0.002664
1/1/2021 18:45,0.002584
1/1/2021 19:00,0.002564
1/1/2021 19:15,0.002584
1/1/2021 19:30,0.002596
1/1/2021 19:45,0.002536
1/1/2021 20:00,0.002576
1/1/2021 20:15,0.002612
1/1/2021 20:30,0.002588
1/1/2021 20:45,0.002532
1/1/2021 21:00,0.002536
1/1/2021 21:15,0.002556
1/1/2021 21:30,0.002488
1/1/2021 21:45,0.002752
1/1/2021 22:00,0.002768
1/1/2021 22:15,0.002736
1/1/2021 22:30,0.002636
1/1/2021 22:45,0.002476
1/1/2021 23:00,0.002468
1/1/2021 23:15,0.00254
1/1/2021 23:30,0.002584
1/1/2021 23:45,0.002724
1/2/2021 0:00,0.00271
1/2/2021 0:15,0.002592
1/2/2021 0:30,0.002704
1/2/2021 0:45,0.002664
1/2/2021 1:00,0.00262
1/2/2021 1:15,0.002504
1/2/2021 1:30,0.002508
1/2/2021 1:45,0.002676
1/2/2021 2:00,0.00264
1/2/2021 2:15,0.002668
1/2/2021 2:30,0.002688
1/2/2021 2:45,0.00242
1/2/2021 3:00,0.002388
1/2/2021 3:15,0.002552
1/2/2021 3:30,0.002652
1/2/2021 3:45,0.00266
1/2/2021 4:00,0.002668
1/2/2021 4:15,0.002596
1/2/2021 4:30,0.002412
1/2/2021 4:45,0.002472
1/2/2021 5:00,0.002564
1/2/2021 5:15,0.002448
1/2/2021 5:30,0.002464
1/2/2021 5:45,0.002664
1/2/2021 6:00,0.002616
1/2/2021 6:15,0.002628
1/2/2021 6:30,0.002656
1/2/2021 6:45,0.029044
