year,month,date,time,energy
2023,1,1,00:00:00,1835.9375
2023,1,1,00:15:00,1945.3125
2023,1,1,00:30:00,1820.3125
2023,1,1,00:45:00,1687.5
2023,1,1,01:00:00,1468.75
2023,1,1,01:15:00,1539.0625
2023,1,1,01:30:00,1554.6875
2023,1,1,01:45:00,1539.0625
2023,1,1,02:00:00,1492.1875
2023,1,1,02:15:00,1484.375
2023,1,1,02:30:00,1500.0
2023,1,1,02:45:00,1484.375
2023,1,1,03:00:00,1398.4375
2023,1,1,03:15:00,3070.3125
2023,1,1,03:30:00,3109.375
2023,1,1,03:45:00,2117.1875
2023,1,1,04:00:00,1414.0625
2023,1,1,04:15:00,1453.125
2023,1,1,04:30:00,1375.0
2023,1,1,04:45:00,1492.1875
2023,1,1,05:00:00,1476.5625
2023,1,1,05:15:00,1398.4375
2023,1,1,05:30:00,1445.3125
2023,1,1,05:45:00,1375.0
2023,1,1,06:00:00,1414.0625
2023,1,1,06:15:00,1453.125
2023,1,1,06:30:00,1351.5625
2023,1,1,06:45:00,1312.5
2023,1,1,07:00:00,1328.125
2023,1,1,07:15:00,1179.6875
2023,1,1,07:30:00,1203.125
2023,1,1,07:45:00,1148.4375
2023,1,1,08:00:00,679.6875
2023,1,1,08:15:00,84.228515625
2023,1,1,08:30:00,-373.291015625
2023,1,1,08:45:00,-636.23046875
2023,1,1,09:00:00,-960.02197265625
2023,1,1,09:15:00,-447.509765625
2023,1,1,09:30:00,476.5625
2023,1,1,09:45:00,122.13134765625
2023,1,1,10:00:00,-1608.642578125
2023,1,1,10:15:00,-1723.9990234375
2023,1,1,10:30:00,-1856.3232421875
2023,1,1,10:45:00,-1941.71142578125
2023,1,1,11:00:00,-2183.10546875
2023,1,1,11:15:00,-1685.36376953125
2023,1,1,11:30:00,-530.45654296875
2023,1,1,11:45:00,-1692.2607421875
2023,1,1,12:00:00,-2361.99951171875
2023,1,1,12:15:00,-2383.4228515625
2023,1,1,12:30:00,-2369.56787109375
2023,1,1,12:45:00,-2166.748046875
2023,1,1,13:00:00,-1719.05517578125
2023,1,1,13:15:00,-1639.46533203125
2023,1,1,13:30:00,-1646.42333984375
2023,1,1,13:45:00,-1593.26171875
2023,1,1,14:00:00,-1450.62255859375
2023,1,1,14:15:00,-1318.359375
2023,1,1,14:30:00,-620.4833984375
2023,1,1,14:45:00,-597.0458984375
2023,1,1,15:00:00,-390.07568359375
2023,1,1,15:15:00,-149.7802734375
2023,1,1,15:30:00,290.4052734375
2023,1,1,15:45:00,362.79296875
2023,1,1,16:00:00,332.21435546875
2023,1,1,16:15:00,618.5302734375
2023,1,1,16:30:00,1164.0625
2023,1,1,16:45:00,1335.9375
2023,1,1,17:00:00,1335.9375
2023,1,1,17:15:00,1414.0625
2023,1,1,17:30:00,1421.875
2023,1,1,17:45:00,1601.5625
2023,1,1,18:00:00,1570.3125
2023,1,1,18:15:00,1492.1875
2023,1,1,18:30:00,1554.6875
2023,1,1,18:45:00,1679.6875
2023,1,1,19:00:00,2203.125
2023,1,1,19:15:00,3257.8125
2023,1,1,19:30:00,3195.3125
2023,1,1,19:45:00,1570.3125
2023,1,1,20:00:00,1593.75
2023,1,1,20:15:00,1523.4375
2023,1,1,20:30:00,1492.1875
2023,1,1,20:45:00,1468.75
2023,1,1,21:00:00,1578.125
2023,1,1,21:15:00,1500.0
2023,1,1,21:30:00,1515.625
2023,1,1,21:45:00,1453.125
2023,1,1,22:00:00,1578.125
2023,1,1,22:15:00,1539.0625
2023,1,1,22:30:00,1546.875
2023,1,1,22:45:00,1492.1875
2023,1,1,23:00:00,1585.9375
2023,1,1,23:15:00,1531.25
2023,1,1,23:30:00,1601.5625
2023,1,1,23:45:00,1945.3125
2023,1,2,00:00:00,1765.625
2023,1,2,00:15:00,1734.375
2023,1,2,00:30:00,1687.5
2023,1,2,00:45:00,1656.25
2023,1,2,01:00:00,1609.375
2023,1,2,01:15:00,3140.625
2023,1,2,01:30:00,3414.0625
2023,1,2,01:45:00,2359.375
2023,1,2,02:00:00,1703.125
2023,1,2,02:15:00,1726.5625
2023,1,2,02:30:00,1601.5625
2023,1,2,02:45:00,1695.3125
2023,1,2,03:00:00,1593.75
2023,1,2,03:15:00,1703.125
2023,1,2,03:30:00,1632.8125
2023,1,2,03:45:00,1531.25
2023,1,2,04:00:00,1562.5
2023,1,2,04:15:00,1609.375
2023,1,2,04:30:00,1562.5
2023,1,2,04:45:00,1554.6875
2023,1,2,05:00:00,1515.625
2023,1,2,05:15:00,1468.75
2023,1,2,05:30:00,1382.8125
2023,1,2,05:45:00,1367.1875
2023,1,2,06:00:00,1359.375
2023,1,2,06:15:00,1398.4375
2023,1,2,06:30:00,1460.9375
2023,1,2,06:45:00,1289.0625
2023,1,2,07:00:00,1289.0625
2023,1,2,07:15:00,1562.5
2023,1,2,07:30:00,1445.3125
2023,1,2,07:45:00,921.875
2023,1,2,08:00:00,609.375
2023,1,2,08:15:00,285.5224609375
2023,1,2,08:30:00,129.2724609375
2023,1,2,08:45:00,-177.18505859375
2023,1,2,09:00:00,-445.9228515625
2023,1,2,09:15:00,-786.80419921875
2023,1,2,09:30:00,-695.3125
2023,1,2,09:45:00,-15.625
2023,1,2,10:00:00,333.6181640625
2023,1,2,10:15:00,-359.55810546875
2023,1,2,10:30:00,-343.44482421875
2023,1,2,10:45:00,1502.0751953125
2023,1,2,11:00:00,1154.35791015625
2023,1,2,11:15:00,-160.94970703125
2023,1,2,11:30:00,-529.9072265625
2023,1,2,11:45:00,-1033.75244140625
2023,1,2,12:00:00,-1568.17626953125
2023,1,2,12:15:00,-1345.5810546875
2023,1,2,12:30:00,-1194.88525390625
2023,1,2,12:45:00,-1297.8515625
2023,1,2,13:00:00,-1146.728515625
2023,1,2,13:15:00,-1012.0849609375
2023,1,2,13:30:00,-1072.3876953125
2023,1,2,13:45:00,-953.91845703125
2023,1,2,14:00:00,-650.57373046875
2023,1,2,14:15:00,-437.07275390625
2023,1,2,14:30:00,1289.0625
2023,1,2,14:45:00,811.70654296875
2023,1,2,15:00:00,580.2001953125
2023,1,2,15:15:00,785.0341796875
2023,1,2,15:30:00,1218.75
2023,1,2,15:45:00,608.88671875
2023,1,2,16:00:00,618.95751953125
2023,1,2,16:15:00,1023.4375
2023,1,2,16:30:00,1093.75
2023,1,2,16:45:00,1335.9375
2023,1,2,17:00:00,2343.75
2023,1,2,17:15:00,3023.4375
2023,1,2,17:30:00,2492.1875
2023,1,2,17:45:00,1546.875
2023,1,2,18:00:00,1585.9375
2023,1,2,18:15:00,1523.4375
2023,1,2,18:30:00,1570.3125
2023,1,2,18:45:00,1539.0625
2023,1,2,19:00:00,1601.5625
2023,1,2,19:15:00,1648.4375
2023,1,2,19:30:00,1617.1875
2023,1,2,19:45:00,1523.4375
2023,1,2,20:00:00,1625.0
2023,1,2,20:15:00,1539.0625
2023,1,2,20:30:00,1492.1875
2023,1,2,20:45:00,1570.3125
2023,1,2,21:00:00,1585.9375
2023,1,2,21:15:00,1484.375
2023,1,2,21:30:00,1570.3125
2023,1,2,21:45:00,1484.375
2023,1,2,22:00:00,1546.875
2023,1,2,22:15:00,1570.3125
2023,1,2,22:30:00,1500.0
2023,1,2,22:45:00,1562.5
2023,1,2,23:00:00,1898.4375
2023,1,2,23:15:00,2335.9375
2023,1,2,23:30:00,1750.0
2023,1,2,23:45:00,1820.3125
2023,1,3,00:00:00,1710.9375
2023,1,3,00:15:00,1750.0
2023,1,3,00:30:00,1796.875
2023,1,3,00:45:00,1585.9375
2023,1,3,01:00:00,1679.6875
2023,1,3,01:15:00,1742.1875
2023,1,3,01:30:00,1648.4375
2023,1,3,01:45:00,1593.75
2023,1,3,02:00:00,1789.0625
2023,1,3,02:15:00,1734.375
2023,1,3,02:30:00,2804.6875
2023,1,3,02:45:00,3343.75
2023,1,3,03:00:00,2851.5625
2023,1,3,03:15:00,1773.4375
2023,1,3,03:30:00,1710.9375
2023,1,3,03:45:00,1562.5
2023,1,3,04:00:00,1757.8125
2023,1,3,04:15:00,1656.25
2023,1,3,04:30:00,1617.1875
2023,1,3,04:45:00,1429.6875
2023,1,3,05:00:00,1445.3125
2023,1,3,05:15:00,1429.6875
2023,1,3,05:30:00,1523.4375
2023,1,3,05:45:00,1460.9375
2023,1,3,06:00:00,1531.25
2023,1,3,06:15:00,1617.1875
2023,1,3,06:30:00,2656.25
2023,1,3,06:45:00,4820.3125
2023,1,3,07:00:00,5023.4375
2023,1,3,07:15:00,4664.0625
2023,1,3,07:30:00,3687.5
2023,1,3,07:45:00,3648.4375
2023,1,3,08:00:00,4585.9375
2023,1,3,08:15:00,4867.1875
2023,1,3,08:30:00,4679.6875
2023,1,3,08:45:00,4054.6875
2023,1,3,09:00:00,4406.25
2023,1,3,09:15:00,4445.3125
2023,1,3,09:30:00,3437.5
2023,1,3,09:45:00,3468.75
2023,1,3,10:00:00,3820.3125
2023,1,3,10:15:00,3398.4375
2023,1,3,10:30:00,3734.375
2023,1,3,10:45:00,2492.1875
2023,1,3,11:00:00,3539.0625
2023,1,3,11:15:00,5039.0625
2023,1,3,11:30:00,4710.9375
2023,1,3,11:45:00,5726.5625
2023,1,3,12:00:00,6476.5625
2023,1,3,12:15:00,5195.3125
2023,1,3,12:30:00,3015.625
2023,1,3,12:45:00,4296.875
2023,1,3,13:00:00,6195.3125
2023,1,3,13:15:00,5921.875
2023,1,3,13:30:00,5742.1875
2023,1,3,13:45:00,6250.0
2023,1,3,14:00:00,6015.625
2023,1,3,14:15:00,6367.1875
2023,1,3,14:30:00,6718.75
2023,1,3,14:45:00,6867.1875
2023,1,3,15:00:00,6093.75
2023,1,3,15:15:00,6359.375
2023,1,3,15:30:00,5468.75
2023,1,3,15:45:00,5859.375
2023,1,3,16:00:00,6101.5625
2023,1,3,16:15:00,6718.75
2023,1,3,16:30:00,6765.625
2023,1,3,16:45:00,4320.3125
2023,1,3,17:00:00,3351.5625
